Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.
J A N U A R Y,3,The Grudge,Screen Gems / Stage 6 Films / Ghost House Pictures,"Nicolas Pesce (director/screenplay); Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, Jacki Weaver",[2],
J A N U A R Y,10,Underwater,20th Century Fox / TSG Entertainment / Chernin Entertainment,"William Eubank (director); Brian Duffield, Adam Cozad (screenplay); Kristen Stewart, Vincent Cassel, Jessica Henwick, John Gallagher Jr., Mamoudou Athie, T.J. Miller",[3],
J A N U A R Y,10,Like a Boss,Paramount Pictures,"Miguel Arteta (director); Sam Pitman, Adam Cole-Kelly (screenplay); Tiffany Haddish, Rose Byrne, Salma Hayek, Jennifer Coolidge, Billy Porter",[4],
J A N U A R Y,10,Three Christs,IFC Films,"Jon Avnet (director/screenplay); Eric Nazarian (screenplay); Richard Gere, Peter Dinklage, Walton Goggins, Bradley Whitford",,
J A N U A R Y,10,Inherit the Viper,Barry Films / Tycor International Film Company,"Anthony Jerjen (director); Andrew Crabtree (screenplay); Josh Hartnett, Margarita Levieva, Chandler Riggs, Bruce Dern, Owen Teague",[5],
J A N U A R Y,10,The Sonata,Screen Media Films,"Andrew Desmond (director/screenplay); Arthur Morin (screenplay); Freya Tingley, Simon Abkarian, Rutger Hauer, James Faulkner",[6],
J A N U A R Y,10,The Murder of Nicole Brown Simpson,Quiver Distribution,"Daniel Farrands (director); Michael Arter (screenplay); Mena Suvari, Nick Stahl, Taryn Manning",[7],
J A N U A R Y,17,Bad Boys for Life,Columbia Pictures / Don Simpson/Jerry Bruckheimer Films,"Adil El Arbi and Bilall Fallah (directors); Chris Bremmer (screenplay); Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton, Paola Núñez, Kate del Castillo, Nicky Jam, Joe Pantoliano",[8],
J A N U A R Y,17,Dolittle,Universal Pictures / Perfect World Pictures / Roth/Kirschenbaum Films,"Stephen Gaghan (director/screenplay); Dan Gregor, Doug Mand (screenplay); Robert Downey Jr., Antonio Banderas, Michael Sheen, Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez, Marion Cotillard",[9],
J A N U A R Y,17,A Fall from Grace,Netflix,"Tyler Perry (director/screenplay); Crystal R. Fox, Phylicia Rashad, Bresha Webb, Mehcad Brooks, Cicely Tyson, Tyler Perry",[10],
J A N U A R Y,24,The Gentlemen,STX Films / Miramax,"Guy Ritchie (director/screenplay); Matthew McConaughey, Charlie Hunnam, Henry Golding, Michelle Dockery, Jeremy Strong, Eddie Marsan, Colin Farrell, Hugh Grant",[11],
J A N U A R Y,24,The Turning,Universal Pictures / DreamWorks Pictures / Amblin Entertainment,"Floria Sigismondi (director); Carey Hayes, Chad Hayes (screenplay); Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Joely Richardson",[12],
J A N U A R Y,24,The Last Full Measure,Roadside Attractions,"Todd Robinson (director/screenplay); Sebastian Stan, Christopher Plummer, William Hurt, Ed Harris, Samuel L. Jackson, Peter Fonda, LisaGay Hamilton, Jeremy Irvine, Diane Ladd, Amy Madigan, John Savage, Bradley Whitford",[13],
J A N U A R Y,24,John Henry,Saban Films,"Will Forbes (director); Doug Skinner, Will Forbes (screenplay); Terry Crews, Ludacris, Jamila Velazquez, Ken Foree, Tyler Alvarez, Joseph Julian Soria",[14],
J A N U A R Y,31,The Rhythm Section,Paramount Pictures / Eon Productions,"Reed Morano (director); Mark Burnell (screenplay); Blake Lively, Jude Law, Sterling K. Brown",[15],
J A N U A R Y,31,Gretel & Hansel,Orion Pictures / Bron Creative,"Oz Perkins (director/screenplay); Rob Hayes (screenplay); Sophia Lillis, Sammy Leakey, Charles Babalola, Jessica De Gouw, Alice Krige",[16],
J A N U A R Y,31,The Assistant,Bleecker Street,"Kitty Green (director/screenplay); Julia Garner, Matthew Macfadyen",[17],
F E B R U A R Y,7,Birds of Prey,Warner Bros. Pictures / DC Films,"Cathy Yan (director); Christina Hodson (screenplay); Margot Robbie, Mary Elizabeth Winstead, Jurnee Smollett-Bell, Rosie Perez, Chris Messina, Ella Jay Basco, Ali Wong, Ewan McGregor",[18],
F E B R U A R Y,7,The Lodge,Neon / FilmNation Entertainment / Hammer Films,"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",[19],
F E B R U A R Y,7,Timmy Failure: Mistakes Were Made,Disney+ / Walt Disney Pictures,"Tom McCarthy (director/screenplay); Stephan Pastis (screenplay); Winslow Fegley, Ophelia Lovibond, Craig Robinson, Wallace Shawn",[20],
F E B R U A R Y,7,Horse Girl,Netflix / Duplass Brothers Productions,"Jeff Baena (director/screenplay); Alison Brie (screenplay); Alison Brie, Debby Ryan, John Paul Reynolds, Molly Shannon, John Ortiz, Paul Reiser",[21],
F E B R U A R Y,12,To All the Boys: P.S. I Still Love You,Netflix,"Michael Fimognari (director); Sofia Alvarez, J. Mills Goodloe (screenplay); Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart, John Corbett",[22],
F E B R U A R Y,14,Sonic the Hedgehog,Paramount Pictures / Original Film / Sega Sammy Group,"Jeff Fowler (director); Patrick Casey, Josh Miller (screenplay); James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Neal McDonough, Jim Carrey",[23],
F E B R U A R Y,14,Fantasy Island,Columbia Pictures / Blumhouse Productions,"Jeff Wadlow (director/screenplay); Chris Roach, Jillian Jacobs (screenplay); Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Portia Doubleday, Jimmy O. Yang, Ryan Hansen, Michael Rooker",[24],
